Order ID,Order Date,Customer Name,Segment,Region,Category,Sub Category,Quantity,Unit Price,Discount,Sales,Profit
ORD-10947,2024-01-01,Customer 734,Corporate,North,Clothing,Jeans,5,46.63,0.15,198.18,51.69
ORD-12218,2024-01-01,Customer 881,Consumer,East,Clothing,Jacket,6,30.76,0.0,184.56,40.35
ORD-11925,2024-01-01,Customer 866,Corporate,West,Home & Kitchen,Blender,7,78.98,0.0,552.86,109.57
ORD-12297,2024-01-01,Customer 614,Consumer,East,Clothing,Jacket,6,80.7,0.15,411.57,74.28
ORD-12827,2024-01-02,Customer 366,Consumer,West,Home & Kitchen,Lamp,5,150.89,0.0,754.45,127.08
ORD-11532,2024-01-02,Customer 163,Corporate,West,Electronics,Headphones,7,197.1,0.0,1379.7,224.37
ORD-10858,2024-01-03,Customer 475,Consumer,East,Home & Kitchen,Lamp,5,15.24,0.0,76.2,26.13
ORD-10371,2024-01-04,Customer 207,Consumer,South,Home & Kitchen,Air Fryer,3,61.97,0.2,148.73,33.94
ORD-11599,2024-01-04,Customer 132,Corporate,West,Electronics,Smartwatch,7,615.26,0.0,4306.82,529.57
ORD-10197,2024-01-04,Customer 341,Corporate,East,Furniture,Bookshelf,5,558.55,0.1,2513.47,286.34
ORD-11129,2024-01-04,Customer 703,Home Office,North,Home & Kitchen,Air Fryer,6,158.39,0.0,950.34,66.31
ORD-10171,2024-01-04,Customer 358,Home Office,North,Clothing,Cap,5,55.4,0.0,277.0,19.1
ORD-11438,2024-01-05,Customer 604,Corporate,North,Clothing,Cap,6,63.5,0.2,304.8,41.93
ORD-12879,2024-01-05,Customer 1,Consumer,West,Clothing,Cap,5,19.55,0.0,97.75,5.57
ORD-12152,2024-01-05,Customer 770,Consumer,South,Furniture,Bed Frame,6,698.61,0.0,4191.66,921.02
ORD-12361,2024-01-05,Customer 248,Corporate,South,Stationery,Pen Set,6,20.64,0.0,123.84,7.58
ORD-10044,2024-01-06,Customer 443,Corporate,East,Clothing,Jeans,4,73.94,0.0,295.76,97.41
ORD-12650,2024-01-06,Customer 762,Consumer,East,Clothing,Jacket,5,48.99,0.0,244.95,47.31
ORD-10267,2024-01-06,Customer 153,Consumer,Central,Home & Kitchen,Air Fryer,4,112.4,0.1,404.64,91.14
ORD-12296,2024-01-07,Customer 473,Consumer,East,Furniture,Sofa,1,219.3,0.0,219.3,59.58
ORD-10465,2024-01-07,Customer 700,Corporate,North,Clothing,T-Shirt,4,61.91,0.0,247.64,32.7
